TIPO,OBSERVACION
Libre,
Libre,
Semi-restringido(previo permiso),Previo permiso del presidente de la comunidad para el acceso del recurso sr. Prudencio Cruz Torrez Cel:910494548
Semi-restringido(previo permiso),Previo permiso del presidente de la comunidad para el acceso del recurso sr. Florentino Churata Huaracha Cel:951453277
Libre,
Semi-restringido(previo permiso),Previo permiso del presidente de la comunidad para el acceso del recurso sr. Alejandro Roa Mamani Cel: 984667795
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Precios: Adultos: S/. 20.00 / Niños: S/. 10.00 / Extranjeros: S/. 30.00
Libre,
Libre,
Libre,
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,Todo el Año
Semi-restringido(previo permiso),Previa coordinación con la Sr. María Riquez Villarruel . Cel: 941066897 - Comunidad campesina de San Juan de Iris
Libre,
Libre,
Semi-restringido(previo permiso),Previa coordinación con la Sr. María Riquez Villarruel . Cel: 941066897 - Comunidad campesina de San Juan de Iris
NA,NA
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Premio permiso del dueño: Wildos Llatas Vásquez- Cel 976400216
Libre,
Semi-restringido(previo permiso),"Comunicarse con el Señor Royer Zamuel Chiquireri (Jefe de la comunidad) 992 285 564"""
Libre,
Libre,
Libre,
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Semi-restringido(previo permiso),Contactarse con el Sr. Julio Ayala Ccorahua N° de celular 953386606
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","TARIFAS: Mariposario: Adultos: S/.20.00 soles Tarifa especial (Niños 3 a 8 años, Adulto Mayor 60+ años y Oxapampinos con DNI): S/.15.00 soles. Duración: 30 – 45 min OTRAS TARIFAS"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",s/.10.00 adultos s/.5.00 niños
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa: s/. 5.00 ( mayores de 5 años)
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",s/. 10.00 adultos s/. 5.00 niñlos
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Precio Nacionales: s/25.00 Precio Extranjeros: s/50.00 Presidente de turismo Sr. Teodocio Espinoza teléfono: 939718120
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
NA,NA
Libre,
NA,NA
NA,NA
Libre,
Libre,
Semi-restringido(previo permiso),Previa coordinación con la comunidad
NA,NA
NA,NA
Libre,Se recomienda hacer la visita entre los meses de abril a diciembre.
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Paseos en bote por la bahía, mediante APADATTUN (Molo Muelle), tarifas de 10 y 15 soles"
Semi-restringido(previo permiso),Solicitar permiso de acceso al representante de la comunidad nativa de Kitemontinkiari (Kinder Delgadillo Santa Cruz – 941 064 261)
Libre,
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),"El ingreso es previo permiso de la Comunidad Campesina de Marcapomacocha, contacto Señor Julio Condezo, celular N° 997712728."
NA,NA
Libre,
Semi-restringido(previo permiso),"Semi-restringido (previo permiso) El ingreso es previo permiso de la Comunidad Campesina de San Francisco de Asís de Yantac, Sr. Florencio Salcedo, celular 978318537"
Libre,
Libre,"Atiende todos los días. Cierra al medio día, para mayor información comunicarse con el Sr. Florencio Salcedo Cel. 978318537."
Libre,
Libre,
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
Libre,"Se recomienda visitar, entre junio a noviembre y, usar pantalón largo, con camisa manga larga, gorra o sombrero, bloqueador solar, llevar abundante agua, mochila de campo y zapatillas de trekking."
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo por estudiante Universitario S/. 10, por persona Nacional S/. 20 y por extranjero S/. 30, niños pagan S/. 7"
Libre,
Libre,
NA,NA
Libre,Se recomienda registrarse en el cuaderno de visitantes ubicado en la Municipalidad Distrital de Huaripampa.
NA,NA
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",s/. 3.00 adultos de 18 a 70 años. s/. 1.00 niños a partir de 5 años.
Libre,
Libre,
NA,NA
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","El ingreso es previo pago por la entrada al recurso, la tarifa adultos, 4 soles y niños 2 soles."
Libre,"Se recomienda usar pantalón largo, con camisa manga larga, gorra o sombrero, bloqueador solar, llevar abundante agua, mochila de campo y zapatillas de trekking."
Semi-restringido(previo permiso),Coordinar con el presidente del Anexo Pacchanta Sr. Santiago Huilca Celular: 916465971
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: s/ 10.00 Niños: s/ 5.00 Estudiantes: s/3.00
NA,NA
Libre,Mediante embarcaciones de la Asoc. de Pescadores Artesanales dedicados al Serv. de Trans. Turist. Naúticos en Ancón - APADATTUN y/o la empresa Esparcimiento Naútico Bécquer E.I.R.L.
NA,NA
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada general: S/ 2.00, tina individual S/ 4.00, tina familiar S/ 8.00"
Libre,
Semi-restringido(previo permiso),Entrada de S/ 5.00; pagan mayores de 12 años.
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Se cuenta con la siguiente tarifa: • Personas mayores =2.00 soles. • Niños de 10 a 15 años = 1.00 sol. • Niños de 7 a 9 años = 0.50 céntimos
Libre,
Semi-restringido(previo permiso),"El ingreso no tiene costo, pero se debe coordinar con la administradora Gisela García al cel. 953640226"
Semi-restringido(previo permiso),"Previa coordinación con el dueño, Sra Aurora Herrera Dávila celular 953501272"
Semi-restringido(previo permiso),"Previa coordinación con la administración de la Universidad Daniel Alomia Robles, el ingreso es gratuito"
Libre,
Libre,
Libre,"El centro poblado cuenta con luz, pero no tiene disponible el servicio de agua potable y desagüe"
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,Se recomienda registrarse en el Cuaderno de Registro de Visitantes habilitado en la Municipalidad Distrital de Parco.
Otros (especificar),El recurso no está habilitado ni abierto para la visita turística.
Libre,
NA,NA
NA,NA
NA,NA
Libre,"A la fecha no hay caseta de control de ingresos y de la visita turística, ni por el lado del distrito de Santiago ni por LA RNSF (Puerto Caballas)"
Libre,
Libre,
NA,NA
NA,NA
NA,NA
Otros (especificar),A la fecha el recurso no está habilitado ni abierto para la visita turística.
Otros (especificar),A la fecha el recurso no está habilitado ni abierto formalmente para la visita turística. Solo acuden estudiantes de la universidad y de colegios.
NA,NA
Semi-restringido(previo permiso),"Previa coordinación con la comunidad y compra de boletos de 5 soles, único costo, contacto 918283205 sr. Moisés"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general: 10 soles
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general: 10 soles
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa General : 10 soles
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
Libre,No requiere permisos ni presentación de boletos.
Libre,"Se recomienda coordinar para su visita con el presidente de la comunidad de Llullucha, el Sr. Juan Ttito Quispe. Celular: 984-735349"
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
Libre,"Se recomienda, llevar bloqueador solar, lentes de sol, gorros y un snack como galleta y agua."
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Boleto de pago: Adultos: s/.7.00 y Niños: s/.5.00. Contactar con el Sr. Eduardo Vásquez Toledo - Cel: 945295858 y 945854004
Libre,
Semi-restringido(previo permiso),Coordinar con el presidente del anexo Upis Sr. Víctor Chillihuani celular: 950-350476
Libre,"El centro poblado cuenta con luz, pero no tiene disponible el servicio de agua potable y desagüe"
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,"Se recomienda llevar bloqueador solar, gorro o sombrero, agua, snacks ."
Libre,
NA,NA
NA,NA
Libre,
Libre,
Libre,"Se recomienda llevar gorra o sombrero, bloqueador solar, agua, zapatillas adecuadas."
Libre,
Libre,"Se recomienda usar pantalón largo, con camisa manga larga, gorra o sombrero, bloqueador solar y agua"
Libre,"Se recomienda usar camisa manga larga, gorra o sombrero, bloqueador solar y agua"
Libre,"Se recomienda llevar ropa ligera, bloqueador solar, traje de baño y gorra."
NA,NA
Libre,
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),Previa coordinación con su administrador Sr. Elmer Felipe Ibañez Cárdenas. Cel. 975276034 / 977734848
Libre,
Libre,
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Niños: S/.3.00, Adultos: S/. 5.00, Extranjero: S/. 10.00"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifa: Niños local: S/. 3.00, Adultos local: S/. 7.00, Niños extranjeros: S/.5.00, Nacional: S/.15.00, Extranjero: S/. 20.00"
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,El personal de la Municipalidad Distrital de Huicungo atiende a los visitantes.
NA,NA
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Comunidad de Osefina Nacionalles S/.10.00 Extranjeros S/.20.00 Niños no pagan hasta los 5años
NA,NA
Semi-restringido(previo permiso),Previa autorización por el dueño el señor Solis Baldeon Benito Juvencio cel:973013326
Libre,
Libre,
Semi-restringido(previo permiso),Previa autorización por el dueño el Señor Edwin Caisahuana Córdova cel:951537364
Semi-restringido(previo permiso),Previa autorización por la Autoridad del Señor Urcisino de la Cruz Gomez cel: 973319800
Semi-restringido(previo permiso),Previa autorización por el dueño el señor Gregorio Lisinio Cornejo Ore cel: 947958117
Semi-restringido(previo permiso),Previo permiso de la jefa de la CC.NN. De San Sebastián Sra. Diana Shantori Venegas Cel:968113382
Libre,
Libre,
Semi-restringido(previo permiso),Previa autorización por el dueño el señor Gabriel Humberto Bernaola Montalvan cel: 973013326
Libre,
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),Semi - restringido (Previa autorización por el dueño el Señor Edwin Pedro Alejandro Asto Montoya Cel: 947618964)
Libre,
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),"Persona responsable: Sr. Reynaldo Oquendo Guillen, Secretario de la comunidad campesina Poroy. Numero celular: 984972817."
NA,NA
NA,NA
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Se paga el ingreso al pueblo de Queropalca, S/. 40.00 Extranjeros y S/. 30.00 Nacionales. Monto único para visitar los recursos que se encuentran dentro de la reserva."
Libre,No requiere permisos ni presentación de boletos.
Libre,
Libre,No requiere permisos ni presentación de boletos.
NA,NA
NA,NA
Libre,
Libre,Todo el año
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",El costo de ticket es de s/10.00 para adultos y s/. 5.00 para niños
NA,NA
NA,NA
Semi-restringido(previo permiso),"El mirador se encuentra dentro de la reserva y para ingresar a la reserva se paga S/40.00 Extranjeros y S/30.00 Nacionales, el cobro se realiza al ingreso del pueblo de Queropalca."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Se paga el ingreso al pueblo de Queropalca, S/. 40.00 Extranjeros y S/. 30.00 Nacionales. Monto único para visitar los recursos que se encuentran dentro del Área de Conservación Privada ."
Libre,
Libre,
Libre,"Se recomienda comunicarse con el encargado de la Comunidad de Yanaotuto para registrar su visita. Sr. Antonio Cel: 930240991,"
Libre,Se recomienda comunicarse al Cel. 910061845 / 942071381 - Familia Carhuamanta para su registro en el cuaderno de visitantes.
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),Previa coordinación con el Ecónomo de la Iglesia señor Ananías Gonzales Condori celular 969944669.
Libre,
NA,NA
NA,NA
Libre,El cuidado y control del lugar esta a cargo de la Municipalidad Distrital de Huaycahuacho
Libre,"Se recomienda comunicarse con la familia Carhuamanta para su registro en el cuaderno de visitantes, Cel. 910061845 / 942071381."
NA,NA
Libre,
Libre,Se ubica en la Av. Ejercito intercepción Av. Simón Bolívar y Óvalo de la UNAM
Otros (especificar),"Días de Celebración de Misa Domingo,Jueves y Viernes de 10am a 7:00pm"
Libre,
NA,NA
Libre,
NA,NA
Libre,
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifa Única de S/2.00 Soles, el pago se hace al ingreso en la boletería de la comunidad"
Libre,Libre
NA,NA
NA,NA
NA,NA
Libre,De lunes a domingo
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Se realiza el pago al ingreso previo registro en Libro de Visitantes: Adultos 2 soles y niños 1 sol
Libre,
Libre,Sin restricciones
Libre,
Libre,
NA,NA
Semi-restringido(previo permiso),La Coordinación para las visitas es con el Jefe de ACR Ing. Nelson Witting Cel. 989699143
Libre,
Libre,
NA,NA
Libre,
Libre,
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,De libre transito.
Semi-restringido(previo permiso),Previa coordinación con Clementina Ucancial Millones. Teléfono 981 292 246 / ucancialclementina@gmail.com
Semi-restringido(previo permiso),Previa reserva con Dante Julián Bravo. Comunicarse al celular Nº 979 624 078
Semi-restringido(previo permiso),Previa coordinación con Raúl David Neciosup Reluz. Teléfono N° 942034143. nreluzdavid@gmail.com
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Niño: s/2.00 Adulto: s/5.00 Investigación: Previa coordinación con el Sr. Alzamora
Libre,
Libre,
Libre,
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
Libre,
Libre,
Libre,De 07:00 am a 08:00 pm
NA,NA
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",General: S/. 2.00
Libre,
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Se solicita un permiso previo a la Dirección Desconcentrada de Cultura del Callao.Se les puede solicitar una visita a través del teléfono(01)6189393/anexo 1014 o al correo callao@cultura.gob.pe
Libre,ya que se encuentra al aire libre
Semi-restringido(previo permiso),"Para el desarrollo de actividades turísticas en la laguna, coordinar con el Sr. Cresencio Torres Pillihuamán - 908954040"
Libre,Se recomienda visitar de 07:00 a.m. - 08:30 p.m
NA,NA
Semi-restringido(previo permiso),Las coordinaciones para el ingreso son mediante: Whatsapp +51 944 200 600. E-mail: reservas@caletasanjose.com y su Pagina Web: https//.www.caletasanjose-lodge.com/
Libre,
Semi-restringido(previo permiso),"Recorridos en el lugar, previa coordinación al 947199693. Precio por persona: S/5; Grupos de máximo 20 personas."
Libre,
Semi-restringido(previo permiso),"Se puede visitar gratis el meliponario previa coordinación con el encargado, el Sr. Miler Duran Bartolomé cel: 944 702 539"
NA,NA
Semi-restringido(previo permiso),"Para visitas guiadas para recorrido, consultas de precios y coordinaciones previas, mediante mensajes al whatsapp 952292589"
Semi-restringido(previo permiso),Se solicita permiso mediante el WhatsApp de la Bodega 994604676
NA,NA
Libre,
NA,NA
Semi-restringido(previo permiso),Previa coordinación con Susana Bances: Teléfono: 979504892 algodonnativoperu@hotmail.com
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),"Se solicita los permisos por a través llamando al cel. 968218448, remiten una ficha de registro virtual."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Coordinar con el presidente de la Comunidad de Yaccacheta, Sr. Jose Tejada Huaman cel: 910622257. En el recurso se venden los tickets de ingreso, para adultos es 1.00 sol y para niños el ingreso es 0"
Semi-restringido(previo permiso),Previa coordinación con el Presidente de la Comunidad el Sr : Jaime Huaman telefono: 984888226 correo electronico: consultorenturismo24@gmail.com
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,Se puede visitar como ruta de ingreso al Distrito de La Punta o dirigiendose hacia la Costa Verde del Callao
Libre,En horas de culto
Semi-restringido(previo permiso),Se recomienda realizar una previa coordinación con el propietario Jhonatan Elguera Ruffner - 907 132 774
Libre,Apreciado desde el Parque del Distrito de San Juan Bautista.
Libre,
Libre,
Semi-restringido(previo permiso),"Previa coordinación con la artesana Yahaira Luana, Cueva Soria e-mail: luanacuevasoria@gmail.com Nº de celular: 903162569"
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa única: Adultos S/. 20. 00 - Niños S/. 10. 00
NA,NA
Libre,
Libre,
Libre,
Libre,
NA,NA
Semi-restringido(previo permiso),"Coordinar previamente con el propietario Don Marcelo Ponce Huamán (Cel.: 951362770), quien pondrá personal a disposición para brindar orientación al visitante."
Semi-restringido(previo permiso),"Previa coordinación con la Sra. Esmeralda Jiménez, al número de celular: 923232984 o al correo electrónico: esmeralda.jimenezpintado@gmail.com"
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),Previa coordinación con la administración del ACR (Ing. Nelson Witting 989699143)
Semi-restringido(previo permiso),En coordinacion con la artesana Medalith Ruffner Ramón E-MAIL medaltopuruz@gmail.com Número de celular: 986667365
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Coordinar con el presidente de la asociación de Mirador de Cuyuni el Sr. Asención Inquillay Rodriguez cel: 976246700
Semi-restringido(previo permiso),"Previa coordinación con la Sra. Betty Zapata Gonzales, al teléfono 979 861 819 o al e-mail: bettyzapatag@gmail.com"
Libre,
Semi-restringido(previo permiso),"Para visitas guiadas, consultas de precios y coordinaciones previas, e informes en general, mediante mensajes al whatsapp 987 155 072"
Semi-restringido(previo permiso),Previa autorización del director del Centro de Formación.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Fotógrafos profesionales: • Extranjeros $15 usd • Nacionales S/30.00 Estudiantes: • Estudiantes Extranjeros S/15.00 • Nacionales y residente S/10.00 Visitantes. • Extranjero s/15.00 • Nacional o r
NA,NA
NA,NA
NA,NA
Libre,
Libre,"Se recomienda llevar: agua, gorro, repelente, bloqueador, zapatillas cómodas."
NA,NA
Semi-restringido(previo permiso),"Se coordina con la Municipalidad Distrital de Atico, para que se abra el museo, el contacto es al 974 606 153, con la Gerencia de Desarrollo Social y Económico."
Libre,
NA,NA
NA,NA
Libre,
Libre,El registro de visitas se desarrolla en la oficina de atención de la parroquia Santa Ana
Libre,
Libre,
Libre,
Libre,
Libre,El Recurso se encuentra en la avenida principal del pueblo
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,"El acceso es libre para los paseos en bote para observar Punta Ático, pero el acceso es restringido si se deseara ingresar peatonalmente."
Libre,
NA,NA
Libre,
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Contactarse con el Sr. Rafael Chuchón, al Cel N° 913618057"
NA,NA
NA,NA
Libre,
Libre,El mercado cierra sus puertas a las 6 p.m. hasta las 7 a.m. del día siguiente.
Libre,
Libre,Tiempo sugerido entre las 8 a.m. hasta las 4 p.m.
Libre,
Libre,
Libre,Solo abre durante los meses de febrero y agosto por las celebraciones de la Cruz de Chalpón.
Libre,
Libre,Para mayor información contactarse con la Gerencia de Desarrollo Económico y Turismo (01) 2137296 Anexo 1036
Libre,
NA,NA
Otros (especificar),Libre ingreso previo registro en el cuaderno de visitas - ubicado en la choza en trama de acceso al recurso
Semi-restringido(previo permiso),Coordinación Previa: Roldan Gutierrez Inga Cel: 992898056
Semi-restringido(previo permiso),"Previa coordinación: Carlos Sosa Paucca - teniente gobernador, cel: 977106817"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Para los lugareños de lo zona.#Al estar incluida en el circuito Valle del Colca, se paga un boleto turístico. Extranjero S/.70.00 – Latinoamericano S/. 40.00 – Nacional S/. 20.00 (Niño, estudiante y adulto mayor S/. 5.00)"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","#Al estar incluida en el circuito Valle del Colca, se paga un boleto turístico. Extranjero S/.70.00 – Latinoamericano S/. 40.00 – Nacional S/. 20.00 (Niño, estudiante y adulto mayor S/. 5.00)"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Para los lugareños de lo zona.#Al estar incluida en el circuito Valle del Colca, se paga un boleto turístico. Extranjero S/.70.00 – Latinoamericano S/. 40.00 – Nacional S/. 20.00 (Niño, estudiante y adulto mayor S/. 5.00)"
Libre,
Libre,
Libre,
Libre,El recurso turístico es de libre de acceso al público en general
Libre,
Libre,Comunicarse a la Oficina de Turismo de la Municipalidad Distrital Chetilla. Sr. Wilder Cueva Cahi - 961333169
NA,NA
Libre,
Libre,
Semi-restringido(previo permiso),Coordinación con el propietario al celular: 953676641(Gianni Chirinos)
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre",Extranjeros y nacionales S/.15.00#Para los lugareños de lo zona.
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre",Adultos: S/. 3.00 y niños: /. 1.00#Para los lugareños de lo zona.
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Para los lugareños de lo zona.#Al estar incluida en el circuito Valle del Colca, se paga un boleto turístico. Extranjero S/.70.00 – Latinoamericano S/. 40.00 – Nacional S/. 20.00 (Niño, estudiante y adulto mayor S/. 5.00)"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifas: Adultos s/. 5.00; Estudiantes y niños mayores de 5 años s/. 2.00. Contacto: Sr. Genaro Romero Suárez.- Cel 930679997.
Libre,Párroco Diego Germán Quispe - Cel: 933464226
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Comunicarse con la secretaría del Obispado (073-378569).
Libre,
Libre,
Semi-restringido(previo permiso),Previa coordinación con el presidente del caserío. el Sr. Merlein Lopez Rivera - 964 201 946
Semi-restringido(previo permiso),"Se debe solicitar permiso para ingresar a la Capilla, llamar al Cel. 980422036 Sr. Espíritu Salazar o al Cel. 927487423 Sra. Gladys Jiménez"
Libre,
Libre,Para conocer el lugar exacto de las formaciones rocosas se recomienda ir con un guía o contactarse con el presidente de la Junta Directiva del Caserio: Merlein Lopez Rivera- Num: 964 201 946
Semi-restringido(previo permiso),"Si bien no se cobra por el ingreso, se tiene un horario y restricciones de visita que se coordina con el personal encargado - Sr. Horacio Espinoza Almerco - Cel. 946636239"
Libre,
Libre,En la actualidad no existe control en el ingreso
NA,NA
Libre,
Libre,En la actualidad no existe control en el ingreso
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo de entrada: General S/. 1.00
Libre,
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),"Previa coordinación con el Gerente General Esteban Armando Nazario Redondo, contacto telefónico: 980527940. Gerente de administración,  Carla Daniela Espada Jauna, contacto telefónico: 963279375"
Libre,
Libre,
NA,NA
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: s/. 5.00; Niños: s/.3.00 Universitarios: s/.3.00; Estudiante Rural: s/.1.00
NA,NA
Semi-restringido(previo permiso),"Previa coordinación con el señor Eduardo A. Jackson Filomeno, número de whatsapp 981179067"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: s/.20.00 Niños: s/.15.00 Estudiantes (5 pax a más) s/. 15.00 Extranjeros: s/25.00
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),"Deben contactarse con el encargado al número ( 51 956989286), En la C.N. de Santa Rosa de Huacaria la cobertura de teléfono móvil es limitada, de preferencia deje un mensaje."
Libre,El ingreso es apto para todos los visitantes
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero S/.30.00 Peruano S/.10.00 Menores de 16 años S/. 6.00
Libre,
Libre,
Otros (especificar),"De querer realizar la actividad de canotaje turístico, coordinar con las empresas que brindan dicho servicio: Wayquicha experince al cel 975487614 o con Vive aventura al cel 946850147"
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),"Realizar las coordinaciones con el representante de la comunidad Tzamiri ,señor Segundo Campari, celular N° 925887638"
Libre,"Horario de misas: Lunes a sábado 8:00 a.m. / Lunes a sábado 5:00 p.m., 6:00 p.m. y 7:00 p.m. (Misa personales) / Domingos 8:00 a.m., 10:00 a.m., 12:00 m. y 7:00 p.m."
Libre,
Libre,
Libre,
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),"Se tiene que anunciar con el sr. Eduardo Bazán o la sra. María Tochon para el ingreso respectivo, previo pago. De 6 años a más pagan s/ 15.00 y menores a 6 años no pagan derecho de ingreso."
NA,NA
NA,NA
Libre,Tu acción cuenta: Mantener el área limpia y libre de contaminación.
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Visita Nacionales y Extranjeros S/. 10.00 Diez soles.
Libre,
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo de ingreso: Adulto S/. 10.00 Niños S/. 5.00 Adulto mayor: S/. 5.00
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo de ingreso: Adulto S/. 10.00 Niños S/. 5.00 Visitante local: S/. 2.00
Libre,
Otros (especificar),No se puede ingresar por ser zona de riesgo - Para que sea restaurado debe ser inventariado
Libre,
Libre,
NA,NA
Libre,
NA,NA
Semi-restringido(previo permiso),Coordinación con el propietario al celular: 935056090 (Carlos Gutiérrez)
Libre,Desde las 9:00 am - 04:00 pm
Semi-restringido(previo permiso),Previa coordinación con la persona encarga Sr. Aurelio Merma Silva - 953891086
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Visita Nacionales y Extranjeros S/. 10.00 Diez soles.
Libre,"El ingreso es libre; sin embargo, la artesana recepciona y acompaña al visitante durante el recorrido."
Semi-restringido(previo permiso),Previa coordinación con la artesana Rosario Colina : 956271691
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Visita Nacionales y Extranjeros S/. 10.00 Nacionales
Libre,
Libre,
NA,NA
Libre,"El ingreso es libre; sin embargo, la artesana recepciona y acompaña al visitante durante el recorrido."
